jesu,3011.1115538261747
christ,1760.649308718624
lord,870.3329435983608
discipl,819.8330885714446
shall,620.6846728333227
peter,528.9924166763576
paul,521.5105461385594
thing,501.11930114761856
israel,450.331940540081
spirit,436.6622060616604
john,397.0026624670756
peopl,367.4390226934474
church,355.2128131550328
king,345.0462416929838
pharise,316.11014445465264
land,297.5180897840987
gospel,295.57532332360233
world,293.9076467960845
grace,279.88505419604525
jew,273.89659727527146
apostl,267.6597361928407
assuredli,244.7326442383995
faith,240.0849247230247
simon,234.13921929219828
immedi,231.32391400859953
synagogu,213.63364092751905
teacher,197.9135379052707
baptiz,187.59441536909256
galile,185.64883413908484
preach,181.79117994653518
hour,177.89587657649577
demon,175.74316631667782
pilat,174.59173138046953
judah,166.18765280690718
judea,157.85366639000583
gentil,149.10265192907107
receiv,148.27476277449816
bodi,146.93168972319648
brethren,141.89771391466348
thu,137.5024438575332
might,134.1923914274715
mani,133.22416496654958
crucifi,130.6153346749339
herod,129.968489464012
jame,129.968489464012
multitud,127.91915334794179
boat,126.96605643283219
scriptur,124.42715069128609
dead,123.56035106610723
love,121.87062795203207
worthi,116.03885004550904
angel,115.751617276391
philip,115.10118754468067
doctrin,114.2498806337222
anoth,113.18683829274374
david,112.73936364449659
son,110.44985006819998
fellow,108.77358884818155
ought,107.64984392106369
hous,106.20747763167617
greek,105.86650400092154
saint,105.29249100782647
betray,105.14765053265079
greet,104.54262724107875
marvel,104.48409480674263
crowd,104.40324751714834
also,103.77909009788618
said,102.05737993424587
muhammad,100.5822918507902
barnaba,100.23743952666567
nazareth,100.23743952666567
saw,98.66990584274001
offer,97.06562382556413
sat,96.81057015083127
anyon,96.36977957871414
mind,94.59500765999869
mose,94.5056891574899
messeng,93.91742291978984
belov,92.89788008151929
juda,92.80689783245856
children,92.29489230356758
conscienc,89.09195999439419
egypt,87.96236516321397
etern,86.98659687313749
likewis,86.69835246814155
exhort,85.95413129971035
certainli,83.622636602067
council,83.6201940436833
mysteri,83.6201940436833
heard,83.59782279220457
answer,83.57213162729383
law,83.15468435926465
heal,82.99176664643413
caus,82.57971382635588
spiritu,82.27072609555647
tribul,82.27072609555647
amen,80.96343292660818
written,80.93605010525316
certain,78.60931228244011
caesar,77.94847827759169
aaron,76.59716620775492
member,76.35321728364411
kingdom,76.05930933711021
sexual,74.23442823814436
centurion,74.23442823814436
therefor,73.4718111925967
collector,72.50950444062651
beg,72.3216955849162
began,71.6621593342507
hundr,71.61090338831549
partak,71.23766011606413
timothi,70.52060009862471
come,70.5095086529768
pharaoh,69.76646495345443
baptism,68.80845578992142
circumcis,68.1777672035489
parabl,68.12411228888695
bring,67.84425671872465
scribe,67.84398392277026
asia,66.80699383914686
ministri,65.69185566690439
sure,65.49253541289767
host,64.04029686984921
justifi,63.820042967661784
rather,63.25651524699195
macedonia,63.09360943982728
lawless,63.09360943982728
elect,63.05843144761218
flesh,62.81166077305246
daughter,62.52967503268996
persecut,62.16374944259741
godli,62.00152417806115
day,61.188824606737505
accus,60.79841999617731
turn,59.49346003622126
caesarea,59.38044688078486
antioch,59.38044688078486
glori,59.304407409432535
author,58.842962601399535
armi,58.59746528597822
loud,58.470669266579186
enter,58.20381516067595
lust,58.06245191000009
philistin,58.060597879964774
amaz,57.71526900133199
back,57.56732149494806
year,57.451519473941616
burnt,57.4466846543679
boast,56.66741133799939
make,56.466144760404354
capernaum,55.667506142140844
bondserv,55.667506142140844
prison,55.38181570668273
levit,55.06565868552123
gift,54.84962120412248
inhabit,54.72497951398787
soldier,54.35459904054568
famili,53.149492878156295
ephesu,51.95478720401885
lazaru,51.95478720401885
baptist,51.95478720401885
resist,51.95478720401885
camp,50.64722261182695
place,50.538912825027296
mari,50.53751389065359
return,50.360744580370614
favor,49.83278909746454
call,49.76102551839602
tomb,49.59873635877831
anger,49.37149840670269
bold,48.652709725198974
sinner,48.30245842190295
sadduce,48.24229004654487
abid,48.14441895740612
devil,48.14441895740612
altar,47.98144237802638
besid,47.35935906135674
fell,47.14816264674696
blasphem,46.94316309485372
joshua,46.81120890548584
fellowship,46.64306001806439
dwell,46.61001477029761
guidanc,46.606708705340075
region,46.37534039816868
iniqu,46.03352703988043
power,45.92727458582133
enemi,45.88028349921551
alway,45.82214509207788
solomon,45.768599666838
princ,45.76211124068563
fulfil,45.51300313256965
sail,45.26436790889767
immor,45.11085837476876
hand,44.917171757909166
epistl,44.53001464984728
martha,44.53001464984728
magdalen,44.53001464984728
dragon,44.53001464984728
festu,44.53001464984728
gold,44.200101482979704
meet,43.93885392869964
made,43.77282997622285
begin,43.66185653415156
teach,43.59215865600693
like,43.27637111632858
obtain,43.268013808553285
babylon,42.88751469620598
punish,42.85709304507549
water,42.41604155578919
heavenli,42.215826914657164
torment,41.82730889189826
ark,41.5341058373192
risen,41.44752178485665
quran,41.16261800133012
statut,41.16261800133012
disbeliev,40.82567579860158
book,40.822837555398316
supper,40.81796099405682
hade,40.81796099405682
achaia,40.81796099405682
andrew,40.81796099405682
titu,40.81796099405682
crow,40.81796099405682
agrippa,40.81796099405682
rooster,40.81796099405682
demonpossess,40.81796099405682
infirm,40.81796099405682
creat,40.78969308152967
wit,40.74578861225869
need,40.65379473285906
earth,40.410920405501756
sake,40.14251154075158
disobedi,40.12906057195316
help,39.81639233689562
know,39.76549381054138
saul,39.58257920081944
jacob,39.56521436097731
natur,39.538986389375225
valley,39.19485366181955
wick,39.18944757752436
overcom,39.00864183466584
contrari,39.00864183466584
grain,38.91167870172448
reason,38.88258024380823
us,38.782517538709996
