system,split,p-pos,r-pos,f-pos,p-neg,r-neg,f-neg,p-neu,r-neu,f-neu,p-macro,r-macro,f-macro
baseline,train,0.9988849656197732,0.9988849656197732,0.9988849656197732,0.9991404011461318,0.9991404011461318,0.9991404011461318,0.9988621997471555,0.9988621997471555,0.9988621997471555,0.9989625221710202,0.9989625221710202,0.9989625221710202
baseline,dev,0.5551948051948052,0.5719063545150501,0.5634266886326195,0.5132743362831859,0.4484536082474227,0.4786795048143054,0.5846153846153846,0.6052332195676906,0.5947456679709335,0.5510281753644586,0.5418643941100544,0.5456172871392861
improved,train,0.8018807437486642,0.6972681657684445,0.7459244532803181,0.8225574712643678,0.6561604584527221,0.7299968122409946,0.7215067611075338,0.8499367888748419,0.7804736475504992,0.7819816587068553,0.7344551376986695,0.7521316376906039
improved,dev,0.6716141001855288,0.6053511705685619,0.6367634124890061,0.6013745704467354,0.45103092783505155,0.5154639175257731,0.6154589371980677,0.7246871444823664,0.6656217345872518,0.6294825359434438,0.5936897476286599,0.6059496882006771
baseline,test,0.5301429459291486,0.5705685618729097,0.5496134020618557,0.4776931447225245,0.45257731958762887,0.4647961884595024,0.5791940018744143,0.5625853436504324,0.5707688755483722,0.529010030842029,0.5285770750369904,0.5283928220232434
improved,test,0.670982482863671,0.5892976588628762,0.6274928774928775,0.5597897503285151,0.43917525773195876,0.49220103986135183,0.607032457496136,0.7150659990896677,0.6566353187042843,0.6126015635627741,0.5811796385615009,0.5921097453528379
